,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
528,CA,0,2,99,0,11,0,7
529,CA,0,1,1,0,11,0,1
530,CA,0,1,1,0,10,0,1
531,CA,0,2,1,0,10,0,7
532,CA,0,2,1,0,9,0,1
533,CA,1,1,1,0,11,0,1
534,CA,1,2,99,0,10,1,7
535,CA,0,2,99,0,10,0,7
536,CA,0,2,99,0,11,0,7
537,CA,0,1,1,0,10,0,1
538,CA,0,2,99,0,11,0,7
539,CA,0,1,2,0,11,0,2
540,CA,0,2,99,0,11,0,7
541,CA,0,1,2,0,11,0,2
543,CA,1,2,2,0,11,0,2
545,CA,0,1,99,0,11,0,7
546,CA,0,2,99,0,9,0,7
547,CA,0,2,2,0,11,1,2
548,CA,0,1,4,0,11,0,4
549,CA,0,2,99,0,12,0,7
550,CA,0,2,1,0,10,0,1
551,CA,0,1,1,0,9,0,1
552,CA,1,1,99,0,9,0,7
553,CA,0,2,2,0,6,0,2
554,CA,0,1,1,0,11,0,1
555,CA,1,1,99,0,9,0,7
556,CA,0,2,1,0,10,0,1
557,CA,0,1,2,0,10,0,2
558,CA,0,1,1,0,9,0,1
559,CA,0,1,99,0,11,1,7
560,CA,0,2,99,0,10,0,7
561,CA,0,2,1,0,10,0,7
562,CA,1,1,1,0,10,0,1
563,CA,0,1,4,0,10,0,4
565,CA,0,2,1,0,11,1,1
566,CA,0,1,99,0,10,0,7
567,CA,0,2,1,0,9,0,1
568,CA,0,1,1,0,11,0,1
569,CA,0,1,1,0,11,0,1
570,CA,0,2,99,0,10,0,7
571,CA,0,1,99,0,11,0,7
572,CA,0,1,1,0,12,1,1
573,CA,0,1,99,0,11,0,7
574,CA,0,2,2,0,10,0,2
575,CA,0,1,1,0,9,1,1
576,CA,0,2,99,0,7,0,7
577,CA,0,1,2,0,11,0,2
578,CA,0,2,99,0,11,0,7
579,CA,0,2,4,0,11,0,4
580,CA,0,1,99,0,11,0,7
581,CA,0,2,99,0,10,0,7
582,CA,0,2,1,0,9,1,7
583,CA,0,1,99,0,9,0,7
584,CA,1,1,1,0,11,0,1
585,CA,0,2,2,0,10,0,2
586,CA,0,1,1,0,11,0,1
587,CA,0,2,2,0,11,0,2
588,CA,0,2,99,0,9,0,7
589,CA,0,2,99,0,11,0,7
590,CA,0,1,2,0,9,0,2
591,CA,0,2,1,0,11,0,7
592,CA,0,2,1,0,12,0,1
593,CA,0,1,1,0,11,0,7
594,CA,0,1,2,0,11,1,2
595,CA,0,2,1,0,9,0,1
596,CA,0,2,2,0,11,0,2
597,CA,1,1,99,0,9,0,7
598,CA,0,1,1,0,11,1,1
599,CA,0,1,2,0,12,0,7
600,CA,0,1,1,0,11,1,1
601,CA,0,2,1,0,10,0,1
602,CA,0,2,1,0,9,1,1
603,CA,0,2,1,0,10,0,7
604,CA,0,1,99,0,11,0,7
605,CA,1,2,1,0,10,0,1
606,CA,0,2,1,0,11,1,7
608,CA,0,1,1,0,10,0,1
609,CA,1,1,99,0,9,0,7
610,CA,0,1,1,0,10,0,1
611,CA,0,1,1,0,10,0,1
612,CA,1,1,2,0,10,1,2
613,CA,0,2,2,0,10,1,2
614,CA,0,2,1,0,12,0,1
615,CA,1,1,1,0,9,0,1
616,CA,0,1,2,0,11,0,2
617,CA,0,1,1,0,10,0,1
618,CA,0,1,1,0,11,0,7
619,CA,1,1,1,0,11,0,1
620,CA,1,1,2,0,11,0,7
621,CA,0,2,6,0,11,1,6
622,CA,0,2,1,0,11,0,7
623,CA,0,2,1,0,10,0,7
624,CA,0,2,99,0,11,1,7
625,CA,0,1,6,0,9,0,6
626,CA,0,1,99,0,9,0,7
627,CA,0,1,2,0,10,1,2
628,CA,0,2,99,0,11,0,7
629,CA,0,2,2,0,11,0,2
630,CA,0,2,2,0,10,0,2
631,CA,0,1,99,0,9,0,7
632,CA,0,2,6,0,10,0,6
633,CA,0,1,1,0,10,0,1
634,CA,0,2,2,0,11,0,2
635,CA,0,1,99,0,11,0,7
636,CA,0,2,1,0,10,0,7
637,CA,0,2,99,0,11,0,7
638,CA,0,2,1,0,11,1,7
639,CA,0,2,6,0,10,1,6
640,CA,0,2,99,0,11,0,7
642,CA,0,1,99,0,10,0,7
643,CA,0,2,99,0,8,1,7
644,CA,0,2,99,0,11,0,7
645,CA,0,2,1,0,11,0,7
646,CA,0,2,1,0,11,0,7
647,CA,0,2,2,0,10,0,2
648,CA,0,2,1,0,12,0,1
649,CA,0,1,2,0,11,0,2
650,CA,0,2,2,0,11,0,2
651,CA,0,2,99,0,10,0,7
652,CA,0,1,99,0,10,0,7
653,CA,0,2,1,0,11,0,1
654,CA,0,1,2,0,11,1,2
655,CA,0,1,99,0,9,0,7
656,CA,0,1,4,0,10,1,4
657,CA,0,1,2,0,10,0,7
658,CA,0,1,2,0,8,0,2
659,CA,0,1,1,0,10,0,7
660,CA,0,1,1,0,11,0,7
661,CA,0,1,99,0,10,1,7
662,CA,0,2,1,0,10,0,7
663,CA,0,2,1,0,9,0,7
664,CA,0,1,6,0,10,1,6
665,CA,0,2,2,0,11,1,2
666,CA,0,1,1,0,10,0,7
667,CA,0,2,1,0,10,0,1
668,CA,0,2,1,0,10,0,1
669,CA,0,1,99,0,9,0,7
670,CA,1,1,2,0,9,0,2
671,CA,0,2,1,0,11,0,1
672,CA,0,1,99,0,10,1,7
673,CA,0,1,1,0,10,1,1
674,CA,0,2,1,0,10,0,1
675,CA,0,1,4,0,11,0,4
676,CA,0,1,1,0,10,0,1
677,CA,0,2,4,0,11,0,4
678,CA,1,2,1,0,11,0,1
679,CA,0,1,2,0,9,1,2
680,CA,0,1,1,0,11,1,1
681,CA,0,2,1,0,8,0,7
682,CA,0,2,1,0,10,0,7
683,CA,1,2,99,0,11,0,7
684,CA,1,1,2,0,9,1,2
685,CA,0,1,1,0,11,1,1
686,CA,0,1,1,0,10,1,1
687,CA,1,1,1,0,10,0,1
688,CA,0,1,2,0,9,1,2
689,CA,1,1,99,0,9,0,7
690,CA,0,1,1,0,8,0,1
691,CA,1,1,99,0,11,1,7
692,CA,0,1,99,0,11,0,7
693,CA,0,2,2,0,11,1,2
694,CA,0,2,3,1,10,1,3
695,CA,0,2,99,0,10,0,7
696,CA,0,2,99,0,10,0,7
697,CA,1,1,99,0,10,0,99
698,CA,0,2,1,0,10,1,7
699,CA,0,1,1,0,8,0,1
700,CA,1,2,2,0,10,0,2
701,CA,0,1,99,0,11,0,7
702,CA,1,2,1,0,13,0,7
703,CA,0,2,1,0,10,0,1
704,CA,0,2,2,0,12,0,7
705,CA,0,2,1,0,11,0,1
706,CA,0,1,99,0,11,1,99
707,CA,0,1,2,0,11,1,2
708,CA,0,1,99,0,11,0,7
709,CA,1,1,1,0,6,0,7
710,CA,0,1,1,0,10,1,1
711,CA,1,1,2,0,11,0,2
712,CA,1,1,99,0,11,0,7
713,CA,0,2,99,0,11,0,7
714,CA,0,2,99,0,11,0,7
715,CA,0,2,99,0,9,0,7
716,CA,0,1,1,0,13,0,1
717,CA,0,1,1,0,10,1,7
719,CA,0,2,2,0,11,0,2
720,CA,0,1,4,0,11,0,4
721,CA,0,1,99,0,10,0,7
722,CA,0,2,1,0,12,0,7
723,CA,0,2,1,0,11,0,1
724,CA,0,2,99,0,11,0,7
725,CA,1,1,2,0,11,0,2
726,CA,0,1,2,0,10,0,2
727,CA,0,1,1,0,10,0,7
728,CA,0,2,1,0,11,0,7
729,CA,1,1,99,0,10,0,7
730,CA,0,2,99,0,10,0,7
731,CA,0,1,1,0,11,0,1
732,CA,0,2,6,0,9,0,6
733,CA,0,2,99,0,11,0,7
734,CA,0,2,1,0,9,1,1
735,CA,0,2,99,0,10,0,7
736,CA,0,2,99,0,10,0,7
737,CA,0,2,1,0,11,0,1
738,CA,1,1,2,0,10,0,2
739,CA,0,1,99,0,12,0,7
740,CA,0,1,99,0,11,0,7
741,CA,0,1,1,0,10,0,1
742,CA,0,1,1,0,10,1,1
743,CA,0,2,1,0,8,1,7
