,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
199,1,0,1,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,2,0,10,0,2
200,1,1,1,1,1,1,1,1,1,1,0,0,1,0,AR,0,1,1,0,9,1,1
201,0,0,0,1,0,1,0,1,0,0,0,0,0,1,AR,0,2,2,0,10,1,2
202,0,1,0,1,0,0,0,0,0,1,0,0,0,0,AR,0,1,6,1,10,0,6
203,1,1,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,1,4,0,11,0,4
204,1,0,0,1,0,1,1,0,1,1,1,1,1,1,AR,0,1,1,0,11,0,1
205,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,1,2,0,8,1,2
206,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,1,2,0,10,1,2
207,1,0,0,1,0,0,0,0,1,0,0,0,0,0,AR,0,1,6,1,10,1,6
208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,AR,0,1,1,0,10,0,1
209,1,0,1,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,6,0,10,0,6
210,1,0,0,1,0,0,0,0,1,0,0,0,0,0,AR,0,2,1,0,10,0,1
211,1,1,0,1,1,1,1,1,1,1,1,1,1,1,AR,0,1,2,0,9,1,2
212,0,0,0,1,1,1,0,1,1,0,0,0,0,0,AR,0,2,1,0,13,0,1
213,0,1,0,1,0,1,1,0,1,0,0,0,0,1,AR,0,2,2,0,9,1,2
214,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,1,1,0,13,0,1
215,0,1,0,1,0,1,0,1,0,0,0,1,1,1,AR,0,1,6,0,11,0,6
216,1,0,0,0,0,1,1,1,1,1,0,0,0,0,AR,0,2,1,0,9,0,1
217,0,1,1,0,0,0,0,0,0,0,0,0,1,0,AR,0,2,1,0,9,1,1
218,1,1,0,1,1,0,0,0,1,1,0,0,0,1,AR,0,2,1,0,10,1,1
219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,2,1,0,9,0,7
220,1,1,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,2,1,0,9,0,1
221,1,0,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,2,1,0,9,1,1
222,0,1,0,0,1,1,1,1,1,0,0,0,0,1,AR,0,1,2,0,10,1,2
223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,AR,0,2,2,0,11,0,2
224,0,1,0,1,0,1,0,0,0,1,0,0,0,0,AR,0,1,1,0,9,0,1
225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,AR,0,2,1,0,6,1,1
226,0,0,0,1,0,0,0,1,1,0,0,0,0,0,AR,0,1,1,0,10,0,1
227,1,1,0,1,1,0,1,0,1,0,0,0,0,0,AR,0,1,1,0,9,0,1
228,1,0,0,1,0,0,0,1,1,1,0,0,0,0,AR,0,2,1,0,9,0,1
229,0,0,0,1,0,0,0,0,1,1,0,0,0,0,AZ,1,1,1,1,9,0,7
230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AZ,0,2,6,0,11,0,6
231,1,1,0,1,1,1,1,1,1,0,0,0,0,0,AZ,0,1,1,0,10,1,1
232,0,0,1,1,1,1,0,0,1,1,0,0,0,0,AZ,0,1,1,0,11,0,7
233,0,0,0,0,1,0,1,1,0,1,0,0,0,0,AZ,1,1,2,0,11,0,2
234,1,0,1,1,0,1,1,1,1,0,0,1,0,0,AZ,0,2,4,0,11,0,4
235,1,1,0,1,1,1,1,1,1,0,1,1,0,1,AZ,1,2,2,0,11,1,2
236,1,1,0,1,1,1,1,1,1,0,0,1,1,1,AZ,1,1,1,0,11,1,7
237,1,1,0,1,1,1,1,1,1,1,0,0,0,0,AZ,1,2,3,0,10,0,7
238,1,1,0,0,1,1,1,1,1,0,0,1,1,1,AZ,1,2,1,0,10,1,7
239,0,1,1,1,1,1,1,1,1,1,0,0,0,0,AZ,0,2,1,0,11,1,7
240,0,1,0,0,0,0,1,1,0,0,0,0,0,0,AZ,1,2,1,0,9,0,1
241,1,1,0,0,0,1,1,1,1,0,0,0,0,0,AZ,0,2,1,0,11,0,1
242,1,1,1,1,1,1,1,1,1,0,0,0,1,0,AZ,0,2,2,0,11,0,2
243,1,1,0,1,0,1,1,1,1,0,0,0,0,0,AZ,1,2,1,0,11,0,7
244,0,1,0,1,0,1,1,1,0,0,0,0,0,0,AZ,0,2,99,0,10,0,99
245,0,1,0,1,0,1,1,1,1,0,0,0,0,0,AZ,1,1,1,0,11,0,1
246,1,0,0,1,0,1,1,1,1,1,0,0,0,0,AZ,1,1,1,0,10,0,7
247,0,1,0,0,1,0,0,0,0,0,1,0,0,0,AZ,0,2,1,0,10,1,1
248,1,0,0,1,1,1,1,1,1,1,0,0,0,0,AZ,0,2,1,0,10,1,1
249,0,1,0,1,0,1,1,1,0,0,0,0,0,0,AZ,0,1,3,1,11,1,3
250,0,0,0,1,1,1,1,1,1,1,0,0,0,0,AZ,1,2,1,0,9,0,1
251,0,1,0,0,0,0,0,1,1,0,0,0,0,0,AZ,0,2,2,0,10,1,2
252,0,1,0,0,1,0,0,1,1,0,0,0,0,0,AZ,1,1,1,0,9,0,1
253,1,1,1,1,0,1,1,1,1,0,0,1,0,0,AZ,0,2,1,0,11,0,1
254,0,1,0,1,0,0,1,0,0,0,0,0,0,0,AZ,0,2,1,0,11,0,7
255,1,1,0,1,0,1,1,1,1,0,0,1,0,0,AZ,1,1,5,0,10,1,5
256,0,1,1,1,1,1,1,1,1,0,0,0,0,1,AZ,0,1,1,0,11,0,7
257,1,1,0,0,0,1,1,1,1,0,1,0,0,0,AZ,0,2,1,0,11,1,7
258,0,1,0,0,0,0,1,1,0,0,0,0,0,0,AZ,0,1,6,0,10,0,6
259,1,1,0,1,0,1,1,1,1,0,1,0,0,0,AZ,0,1,1,0,11,1,1
260,1,1,0,1,0,1,1,1,1,0,0,0,0,0,AZ,1,1,6,0,11,0,7
261,1,1,0,0,0,1,1,1,1,1,1,1,1,1,AZ,1,1,1,0,9,0,1
262,1,0,1,1,0,1,1,1,0,0,0,0,0,0,AZ,0,2,1,0,11,0,1
263,1,1,0,1,1,1,1,1,1,0,0,1,0,0,AZ,1,1,6,0,9,1,6
264,1,1,1,0,0,0,0,0,0,0,0,0,0,0,AZ,1,2,1,0,9,1,7
265,0,1,0,1,0,1,1,1,1,0,0,1,0,0,AZ,1,2,6,0,11,0,6
266,0,1,0,1,0,1,0,0,0,0,0,0,0,0,AZ,1,1,1,0,11,1,7
267,1,0,0,1,0,1,1,1,1,1,1,1,0,1,AZ,0,1,3,0,12,0,3
268,0,1,0,1,0,1,1,0,0,0,0,0,0,0,AZ,0,1,1,0,10,0,1
269,1,1,0,1,0,0,1,1,1,1,0,1,0,0,AZ,0,1,1,0,10,0,1
270,0,1,0,1,0,1,1,1,0,0,0,0,0,0,AZ,0,2,1,0,9,0,1
271,1,1,0,1,0,1,0,0,0,1,0,0,0,0,AZ,0,2,6,0,9,0,6
272,1,1,1,1,1,1,1,1,1,0,1,1,1,1,AZ,1,1,1,0,11,1,7
273,1,1,0,1,1,1,1,1,1,0,1,0,0,0,AZ,0,1,1,0,8,0,1
274,1,1,0,0,0,1,1,1,0,1,0,0,0,0,AZ,1,1,1,0,10,1,1
275,1,1,0,1,1,1,1,1,1,1,0,0,0,0,AZ,0,1,1,0,10,0,7
276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AZ,0,1,2,0,10,1,2
277,0,0,0,0,1,1,0,0,0,0,0,0,0,0,AZ,1,1,1,0,10,0,1
278,1,0,0,1,0,0,0,0,0,0,1,0,0,0,AZ,0,2,6,0,11,0,6
279,1,1,0,1,0,1,1,1,1,1,0,0,0,0,AZ,1,1,1,0,10,1,1
280,1,1,0,1,1,1,1,1,1,0,0,1,1,0,AZ,0,2,1,0,8,1,7
281,1,1,1,0,1,0,1,0,0,0,0,0,1,0,CA,0,2,6,0,10,0,6
282,0,1,1,1,0,0,1,0,1,0,1,0,1,0,CA,0,1,1,0,11,0,7
283,1,0,1,1,0,0,1,0,1,1,0,0,1,1,CA,0,2,1,0,10,1,7
284,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,2,3,0,9,0,7
285,1,1,1,1,1,0,1,1,0,0,0,0,0,1,CA,0,2,2,0,10,0,2
286,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
