,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,Num_services
292,0,1,0,0,1,0,1,0,1,0,1,0,0,1,6
293,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12
294,0,1,0,1,1,1,1,0,0,0,0,0,0,0,5
295,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4
296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
299,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
301,1,1,1,1,0,0,1,1,1,1,1,0,1,0,10
302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
304,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
305,0,1,0,0,1,0,0,1,0,0,0,0,1,0,4
306,1,1,0,0,1,0,1,1,1,0,0,0,0,1,7
307,1,0,0,1,1,0,1,0,1,1,0,0,0,1,7
308,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
309,1,1,1,1,1,0,1,1,0,0,0,0,1,1,9
310,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
313,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
316,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4
317,1,1,0,1,1,1,1,1,1,1,0,0,1,1,11
318,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
319,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
320,1,1,1,1,0,0,1,0,1,0,0,0,0,0,6
321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
322,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4
323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
324,1,1,0,0,1,0,1,0,1,0,0,0,0,1,6
325,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4
326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
327,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
330,0,1,0,1,0,1,0,1,1,0,0,1,0,1,7
331,0,1,1,1,0,0,0,1,1,0,0,0,0,0,5
332,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3
333,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
334,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
335,0,1,1,0,1,1,1,0,0,0,1,0,0,1,7
336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,1,1,0,0,1,1,1,1,1,0,0,0,0,1,8
338,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
339,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
341,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
342,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
343,1,1,0,1,0,1,0,1,1,0,0,0,0,0,6
344,0,1,1,0,0,1,1,1,0,0,0,0,0,1,6
345,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3
346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
347,1,1,1,1,1,1,1,1,1,0,0,0,0,1,10
348,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
349,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
351,0,1,0,0,1,0,1,0,0,0,0,0,1,0,4
352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
353,1,1,1,1,1,0,1,1,0,1,0,0,1,1,10
354,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
355,1,0,0,0,0,1,1,1,1,1,0,0,0,0,6
356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
357,1,1,1,1,0,1,1,1,1,0,0,0,0,0,8
358,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
361,0,1,1,1,0,0,0,0,1,0,0,0,0,0,4
362,1,1,1,1,1,0,1,1,0,0,0,0,0,0,7
363,1,1,1,1,0,1,1,1,1,0,0,0,0,0,8
364,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
367,0,1,1,1,1,1,1,1,1,0,1,0,1,1,11
368,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
369,1,1,1,1,1,1,1,1,0,1,0,0,0,1,10
370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
371,1,0,1,0,1,0,0,0,1,0,0,0,0,0,4
372,1,0,0,0,0,0,1,1,1,1,0,0,0,0,5
373,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
374,0,1,0,1,1,0,1,1,0,0,0,0,0,0,5
375,1,1,0,1,1,1,1,1,1,0,0,0,0,0,8
376,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
377,0,0,0,0,0,1,1,1,1,1,0,0,0,0,5
378,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
379,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
380,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3
381,0,0,1,1,1,0,1,0,0,0,1,0,0,0,5
382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
383,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3
384,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
385,1,1,1,1,1,1,1,1,0,1,0,0,0,0,9
386,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3
387,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
389,1,1,1,1,1,0,1,0,0,0,0,0,0,1,7
390,0,1,0,1,0,0,1,1,1,0,0,0,0,1,6
391,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
393,1,1,0,0,0,0,1,1,1,0,0,0,0,0,5
394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
395,0,1,1,0,1,0,1,0,1,1,1,0,0,1,8
396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
397,0,1,0,1,1,1,1,1,1,0,0,0,0,0,7
398,0,1,1,1,0,0,1,1,0,0,0,0,0,1,6
399,1,1,1,1,0,0,1,1,0,0,0,0,0,0,6
400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
401,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
402,1,1,0,0,1,0,1,1,0,1,0,0,0,1,7
403,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8
404,1,0,1,1,0,1,1,0,0,0,0,0,0,0,5
405,1,1,1,1,0,0,0,0,0,1,0,0,1,1,7
406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
407,0,1,1,0,1,0,1,0,0,0,0,0,1,1,6
408,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
410,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
411,1,1,1,1,0,0,0,1,1,1,0,0,1,1,9
412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
413,1,1,1,1,0,0,1,1,1,1,0,0,1,1,10
414,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
415,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
416,0,1,1,1,1,0,1,1,1,0,1,0,0,1,9
417,0,1,0,1,0,0,1,0,0,0,1,0,0,0,4
418,1,1,0,0,1,0,1,1,1,0,0,0,0,1,7
